AwardID,AwardTitle,Startdate,Enddate,AwardAmount,Type,Investigators,Institutions
1400422,Preparing Vehicle Technicians for Advanced Transportation Fuels,9/1/14,8/31/17,745602,Standard Grant,Michael Rodgers;Keith Nall;,Kentucky Community & Technical College System
1400424,"Controlled Manufacturing of Lightweight, All-Carbon High Performance Materials Using Low-Cost Solvent Assembly",8/1/14,7/31/17,299998,Standard Grant,Cary Pint;,Vanderbilt University
1400429,New Mexico Analysis Seminar 2014-2016,1/1/14,12/31/16,49388,Standard Grant,Maria Pereyra;Matthew Blair;Maxim Zinchenko;Anna Skripka;Nicholas Michalowski;,University of New Mexico
1400432,Electron Spin Effects in Semiconductor Nanostructures,8/1/14,7/31/17,473332,Standard Grant,Jacek Furdyna;Margaret Dobrowolska;Xinyu Liu;,University of Notre Dame
1400433,ATE Biomedical Equipment Technology Program,9/1/14,8/31/17,510449,Standard Grant,Randy Libros;Tammy Wooten;Mozhgan Bahadory;,Community College of Philadelphia
1400435,"Digitization TCN: Collaborative: Documenting the Occurrence through Space & Time of Aquatic Non-indigenous Fish, Mollusks, Algae, & Plants Threatening North America's Great Lakes",6/15/14,5/31/17,46476,Standard Grant,Andrew Simons;,University of Minnesota-Twin Cities
1400437,Technological Education for the Rural Community (TERC),9/1/14,8/31/17,200000,Standard Grant,Sherry McCormack;Stuart Zieman;,Kentucky Community & Technical College System
1400451,Rebranding the 21st Century IT Technician,9/1/14,8/31/17,199850,Standard Grant,Asa Bradley;Max Josquin;Michele Moore;,Community Colleges of Spokane
1400452,Building an Academic Pathway for Industrial Engineering Operations Technicians,9/1/14,8/31/17,721836,Standard Grant,Peter Carswell;John Schultz;Jeffery Woodson;,Columbus State Community College
1400456,NSF Postdoctoral Fellowship in Biology FY 2014,11/1/14,10/31/16,140000,Fellowship,Kevin Kohl;,Kohl Kevin D
1400458,Manufacturing Original Didactic Experiences in Learning 3D (MODEL 3D),7/1/14,6/30/17,825878,Standard Grant,Susan Meardon;Patricia Godin;Andrew Vinal;Mark Vitacco;Russell Wahrman;,Wake Technical Community College
1400466,The Innovation Cycle of Engineering Design Teams: Computational Modeling Using Situated Social Cognitive Agents,4/1/14,3/31/17,443535,Standard Grant,John Gero;,University of North Carolina at Charlotte
1400470,Microsystems Certification Project,8/1/14,7/31/17,199977,Standard Grant,Andrew Bell;,Ivy Tech Community College of Indiana
1400472,Travel support for ASPLOS 2014,1/15/14,12/31/14,15000,Standard Grant,Matthew Might;,University of Utah
1400473,Investigating Human Coastal Migration Through Exploration of a Paleolithic Site,2/1/14,1/31/16,34090,Standard Grant,Amanuel Beyin;,University of Southern Indiana
1400481,Collaborative Research: IEEE IPDPS Conference Student Participation Support,1/1/14,6/30/15,12000,Standard Grant,Ajay Gupta;,Western Michigan University
1400490,Advancing Training Pathways for the Sustainable Energy Workforce,7/1/14,6/30/17,199996,Standard Grant,Adam Alman;David Rangel;Polinsky Orion;,Bellingham Technical College
1400494,Pathways of Applied Career Experiences (PACE) Science Program in Biotechnology and Chemical Technology,7/1/14,6/30/16,199999,Standard Grant,Sheila Barbach;Keri Flanagan;Jennifer Martin;Jason Hudzik;,County College of Morris
1400498,PostDoctoral Research Fellowship,7/1/14,6/30/18,150000,Fellowship,Samuel Taylor;,Taylor Samuel J
1400499,"Physics of Cancer Imaging Workshop Held at the Athinoula A. Martinos Center for Biomedical Imaging, Massachusetts General Hospital. Dates for the meeting are Nov 5-6, 2013",12/1/13,3/31/16,49595,Standard Grant,Herbert Levine;,William Marsh Rice University
1400500,Application of Clean Energy Technology to Sustainable Agricultural Practice,8/15/14,7/31/17,808615,Standard Grant,Beth Hooker;John Gerber;Kathleen Maiolatesi;,Holyoke Community College
